date,users,temp,hum,windspeed,workingday,holiday
2011-01-01,985.0,14.110833333333332,80.58333333333333,10.749870833333333,0,0.0
2011-01-02,804.0,15.0675,70.625,16.499866666666666,0,0.0
2011-01-03,1353.0,8.063333333333334,43.75,17.583591666666667,1,0.0
2011-01-04,1563.0,8.0975,59.208333333333336,10.667237499999999,1,0.0
2011-01-05,1602.0,9.190833333333334,44.958333333333336,12.250670833333333,1,0.0
2011-01-06,1608.0,8.3025,52.333333333333336,5.7508333333333335,1,0.0
2011-01-07,1511.0,8.063333333333334,50.666666666666664,11.458675,1,0.0
2011-01-08,959.0,6.765000000000001,53.583333333333336,17.875879166666667,0,0.0
2011-01-09,822.0,5.671666666666667,43.416666666666664,24.250650000000004,0,0.0
2011-01-10,1321.0,6.184166666666667,48.291666666666664,14.958866666666667,1,0.0
2011-01-11,1269.0,6.901666666666667,67.5,8.584095833333334,1,0.0
2011-01-12,1164.0,6.97,62.125,19.459033333333334,1,0.0
2011-01-13,1406.0,6.765000000000001,47.041666666666664,20.167,1,0.0
2011-01-14,1422.0,6.491666666666667,53.791666666666664,8.417154166666666,1,0.0
2011-01-15,1248.0,9.566666666666666,49.875,10.5834875,0,0.0
2011-01-16,1204.0,9.498333333333333,48.375,12.625033333333334,0,0.0
2011-01-17,1000.0,7.209166666666667,53.75,12.999116666666666,0,1.0
2011-01-18,731.0,7.721666666666667,86.08333333333333,14.4175625,1,1.0
2011-01-19,1653.0,11.855833333333335,74.95833333333333,13.750633333333333,1,0.0
2011-01-20,1927.0,10.728333333333333,53.833333333333336,13.125579166666668,1,0.0
2011-01-21,1543.0,7.2775,45.708333333333336,23.667191666666668,1,0.0
2011-01-22,984.0,2.3575,40.333333333333336,11.875191666666666,0,0.0
2011-01-23,991.0,3.8266666666666667,44.416666666666664,16.208695833333334,0,0.0
2011-01-24,1417.0,3.895,49.0,10.707716666666665,1,0.0
2011-01-25,1987.0,9.054166666666667,62.0,8.959016666666667,1,0.0
2011-01-26,682.0,8.746666666666668,86.5,20.20831666666667,1,0.0
2011-01-27,847.0,8.131666666666668,84.91666666666667,18.541970833333334,1,0.0
2011-01-28,1168.0,8.336666666666668,79.125,8.208616666666666,1,0.0
2011-01-29,1101.0,7.995,65.33333333333333,9.6253875,0,0.0
2011-01-30,1099.0,8.746666666666668,72.79166666666667,4.7503,0,0.0
2011-01-31,1501.0,7.414166666666667,60.375,12.541841666666668,1,0.0
2011-02-01,1362.0,7.824166666666667,82.375,3.416720833333333,1,0.0
2011-02-02,1526.0,10.66,77.54166666666667,17.708658333333336,1,0.0
2011-02-03,1551.0,7.653333333333333,43.75,18.54225,1,0.0
2011-02-04,1709.0,8.541666666666666,58.708333333333336,8.500066666666667,1,0.0
2011-02-05,1005.0,9.566666666666666,92.91666666666667,10.792304166666668,0,0.0
2011-02-06,1623.0,11.719166666666666,56.833333333333336,9.5006,0,0.0
2011-02-07,1712.0,11.138333333333334,73.83333333333333,3.042358333333333,1,0.0
2011-02-08,1530.0,9.054166666666667,53.791666666666664,24.250650000000004,1,0.0
2011-02-09,1607.0,5.398333333333333,49.291666666666664,12.499966666666666,1,0.0
2011-02-10,1541.0,5.910833333333334,45.25,14.624983333333333,1,0.0
2011-02-11,1752.0,7.448333333333334,50.916666666666664,7.167045833333333,1,0.0
2011-02-12,1472.0,9.1225,54.416666666666664,13.625566666666666,0,0.0
2011-02-13,1591.0,12.778333333333334,46.708333333333336,17.209229166666667,0,0.0
2011-02-14,1913.0,17.015,37.583333333333336,27.999858333333336,1,0.0
2011-02-15,1818.0,10.933333333333332,31.833333333333332,20.62539166666667,1,0.0
2011-02-16,2124.0,12.846666666666666,42.416666666666664,16.417233333333332,1,0.0
